time_period_start;time_period_end;time_open;time_close;price_open;price_high;price_low;price_close;volume_traded;trades_count
2022-03-11T01:50:00.0000000Z;2022-03-11T01:55:00.0000000Z;2022-03-11T01:50:00.0060000Z;2022-03-11T01:54:55.6420000Z;38839.000000000;38839.000000000;38587.000000000;38633.000000000;64.577361340;571
2022-03-11T01:55:00.0000000Z;2022-03-11T02:00:00.0000000Z;2022-03-11T01:55:06.3250000Z;2022-03-11T01:59:59.9760000Z;38659.000000000;38688.000000000;38596.000000000;38666.000000000;71.236551600;455
2022-03-11T02:00:00.0000000Z;2022-03-11T02:05:00.0000000Z;2022-03-11T02:00:00.0020000Z;2022-03-11T02:04:59.5840000Z;38666.000000000;38688.000000000;38638.000000000;38688.000000000;338.551183520;1346
2022-03-11T02:05:00.0000000Z;2022-03-11T02:10:00.0000000Z;2022-03-11T02:05:00.0990000Z;2022-03-11T02:09:56.5040000Z;38688.000000000;38747.000000000;38608.482323300;38617.000000000;63.306790290;458
2022-03-11T02:10:00.0000000Z;2022-03-11T02:15:00.0000000Z;2022-03-11T02:10:01.0330000Z;2022-03-11T02:14:54.4500000Z;38617.000000000;38617.000000000;38258.000000000;38297.000000000;153.823621790;1372
2022-03-11T02:15:00.0000000Z;2022-03-11T02:20:00.0000000Z;2022-03-11T02:15:07.6110000Z;2022-03-11T02:19:58.5900000Z;38321.000000000;38411.000000000;38309.000000000;38391.000000000;5.921018550;153
2022-03-11T02:20:00.0000000Z;2022-03-11T02:25:00.0000000Z;2022-03-11T02:20:04.1750000Z;2022-03-11T02:24:59.8850000Z;38390.000000000;38468.000000000;38370.000000000;38455.000000000;242.645886030;1011
2022-03-11T02:25:00.0000000Z;2022-03-11T02:30:00.0000000Z;2022-03-11T02:25:00.4530000Z;2022-03-11T02:29:59.9640000Z;38455.000000000;38455.000000000;38378.000000000;38388.000000000;83.791606490;367
2022-03-11T02:30:00.0000000Z;2022-03-11T02:35:00.0000000Z;2022-03-11T02:30:00.0260000Z;2022-03-11T02:34:51.0400000Z;38388.000000000;38425.000000000;38360.000000000;38379.542078640;250.635220520;1035
2022-03-11T02:35:00.0000000Z;2022-03-11T02:40:00.0000000Z;2022-03-11T02:35:01.2420000Z;2022-03-11T02:39:59.1400000Z;38379.542078640;38379.542078640;38332.000000000;38366.000000000;149.287728760;877
2022-03-11T02:40:00.0000000Z;2022-03-11T02:45:00.0000000Z;2022-03-11T02:40:00.2280000Z;2022-03-11T02:44:40.2890000Z;38366.000000000;38375.000000000;38354.000000000;38362.282332490;128.568897250;462
2022-03-11T02:45:00.0000000Z;2022-03-11T02:50:00.0000000Z;2022-03-11T02:45:05.3300000Z;2022-03-11T02:49:38.1720000Z;38359.840303680;38375.000000000;38352.000000000;38358.000000000;73.259904500;316
2022-03-11T02:50:00.0000000Z;2022-03-11T02:55:00.0000000Z;2022-03-11T02:50:01.2580000Z;2022-03-11T02:54:59.9640000Z;38357.826734560;38388.000000000;38238.000000000;38388.000000000;257.964775710;1162
2022-03-11T02:55:00.0000000Z;2022-03-11T03:00:00.0000000Z;2022-03-11T02:55:00.4110000Z;2022-03-11T02:59:54.7030000Z;38387.071405690;38388.000000000;38230.000000000;38268.000000000;133.155778310;711
2022-03-11T03:00:00.0000000Z;2022-03-11T03:05:00.0000000Z;2022-03-11T03:00:00.3190000Z;2022-03-11T03:04:49.5270000Z;38263.840258640;38388.000000000;38258.000000000;38333.000000000;28.064574250;300
2022-03-11T03:05:00.0000000Z;2022-03-11T03:10:00.0000000Z;2022-03-11T03:05:09.8390000Z;2022-03-11T03:09:59.3370000Z;38329.000000000;38375.000000000;38329.000000000;38375.000000000;86.084989650;594
2022-03-11T03:10:00.0000000Z;2022-03-11T03:15:00.0000000Z;2022-03-11T03:10:00.3640000Z;2022-03-11T03:14:49.7960000Z;38375.000000000;38388.000000000;38332.000000000;38372.000000000;22.081819480;149
2022-03-11T03:15:00.0000000Z;2022-03-11T03:20:00.0000000Z;2022-03-11T03:15:01.7890000Z;2022-03-11T03:19:54.1520000Z;38368.000000000;38368.000000000;38299.000000000;38333.000000000;2.539681770;82
2022-03-11T03:20:00.0000000Z;2022-03-11T03:25:00.0000000Z;2022-03-11T03:20:02.1500000Z;2022-03-11T03:24:57.4840000Z;38332.000000000;38385.000000000;38331.000000000;38385.000000000;35.170496960;190
