exchange_id,website,name,data_start,data_end,data_quote_start,data_quote_end,data_symbols_count,volume_1hrs_usd,volume_1day_usd,volume_1mth_usd
COINRATE,https://coinrate.net/,Coinrate,2019-10-01,2020-03-20,2019-10-01T17:22:21.2092848Z,2020-03-20T19:29:57.6072267Z,5,0,0,0
KOINIM,https://koinim.com/,Koinim,2019-10-03,2022-03-21,2019-10-03T16:53:12.4213468Z,2022-03-21T06:04:29.9851315Z,6,0,0,0
BITHUMBSG,https://www.bithumbsg.com,Bithumb Singapore,2020-01-01,2021-12-29,2020-01-01T02:31:03.5760497Z,2021-12-29T14:37:13.3926868Z,31,0,0,0
BITCOINCOM,https://exchange.bitcoin.com/,Bitcoin.com,2021-05-18,2021-10-05,2021-05-18T14:00:01.0000000Z,2021-10-05T19:39:41.0000000Z,426,0,0,0
MERCATOX,https://mercatox.com,MERCATOX,2018-10-15,2022-03-21,2018-10-15T09:25:26.8771992Z,2022-03-21T06:11:26.7571248Z,788,0,0,0
BITIBU,https://bitibu.com/,Bitibu,2018-12-25,2019-12-14,2019-04-08T15:29:13.7997005Z,2019-12-14T12:39:31.6524609Z,125,0,0,0
BINANCEJEX,https://www.jex.com/en,Binance JEX,2020-05-05,2021-10-07,2020-05-05T00:00:00.7244920Z,2021-10-07T21:17:56.2160000Z,159,0,0,0
CRYPTALDASH,https://www.cryptaldash.com/,CryptalDash,2018-08-13,2022-01-09,2019-04-08T15:18:06.5579239Z,2022-01-09T22:31:25.1267542Z,641,0,0,0
DDEX,https://ddex.io/,DDEX,2019-01-22,2021-11-27,2019-01-22T20:19:06.9087747Z,2021-11-27T23:08:01.4309631Z,413,0,0,0
COINFIELD,https://www.coinfield.com/,CoinField,2019-10-01,2022-03-21,2019-10-01T15:07:29.7775558Z,2022-03-21T06:15:30.3743248Z,93,610542.17,17414861.88,708779553.3
OCEANEX,https://oceanex.pro/,OceanEx,2019-09-16,2022-03-21,2019-10-01T15:58:54.5097198Z,2022-03-21T06:15:29.3002363Z,104,3293900.88,109825267.68,16455559080.57
ALTILLY,https://www.altilly.com/,Altilly,2019-10-01,2020-12-25,2019-10-01T17:36:25.1190952Z,2020-12-25T20:26:53.5669236Z,1468,0,0,0
COINSPOT,https://www.coinspot.com.au/,CoinSpot,2019-08-28,2022-03-21,2019-08-28T12:26:19.5200249Z,2022-03-21T06:14:39.8618737Z,14,0,0,0
COINFALCON,https://coinfalcon.com/,CoinFalcon,2020-01-01,2020-07-28,2020-01-01T02:34:50.8246788Z,2020-07-28T14:42:02.7740794Z,34,0,0,0
ZEBPAY,https://www.zebapi.com/,Zebpay,2019-02-08,2022-03-21,2019-02-08T10:06:08.6901996Z,2022-03-21T06:15:05.8174275Z,179,0,0,0
OVEX,https://www.ovex.io/,OVEX,2020-05-10,2021-04-25,2020-05-10T21:44:43.3162308Z,2021-04-25T01:14:54.6565030Z,6,0,0,0
XENA,https://xena.exchange/,Xena Exchange,-,-,-,-,24,0,0,0
GOPAXKR,https://www.gopax.co.kr/,GOPAX Korea,2019-02-22,2022-03-21,2019-06-15T19:57:09.0995140Z,2022-03-21T06:14:13.5435168Z,246,157370.5,4109799.88,100216832.28
COBINHOOD,https://cobinhood.com/,COBINHOOD,2018-04-09,2019-11-26,2018-11-03T13:09:03.1540232Z,2019-11-26T12:43:52.3732509Z,179,0,0,0
CREX24,https://crex24.com/,Crex24,2019-04-08,2022-03-21,2019-04-08T15:17:55.0957550Z,2022-03-21T06:15:38.0534033Z,1784,818064.72,170167836.25,8810675994.33
CRYPTOMKT,https://www.cryptomkt.com/,CryptoMarket,2019-04-08,2021-09-11,2019-04-08T15:18:05.5157450Z,2021-09-11T05:08:36.8699192Z,20,0,0,0
BITRUE,https://www.bitrue.com/,Bitrue,2019-02-08,2022-03-21,2019-02-08T09:08:55.5368722Z,2022-03-21T06:15:37.9486014Z,1361,0,0,0
KYBER,https://kyber.network/,Kyber Network,2019-10-01,2022-02-24,2019-10-01T17:26:10.2358153Z,2022-02-24T16:09:02.3386942Z,125,0,0,0
CPATEX,https://c-patex.com/,C-Patex,2017-12-18,2022-03-21,2019-04-08T15:17:55.4599973Z,2022-03-21T05:51:26.9561701Z,257,0,34464863828.24,1614298808762.07
BITVAST,https://www.bitvast.com/,Bitvast,2020-05-05,2022-03-21,2020-05-05T13:01:32.5948284Z,2022-03-21T06:15:14.7949755Z,15,7263962.18,172373377.94,614566027.7
KOINEKS,https://koineks.com/,Koineks,2019-10-01,2020-03-24,2019-10-01T17:25:57.0756373Z,2020-03-24T12:55:01.6822612Z,18,0,0,0
SEEDCX,https://seedcx.com/,SeedCX,2019-04-18,2019-04-18,2019-04-18T18:48:00.7266042Z,2019-04-18T18:48:30.2900934Z,22,0,0,0
CRYPTONEX,https://cryptonex.org/,Cryptonex,2019-10-01,2022-03-21,2019-10-01T17:40:30.8965882Z,2022-03-21T06:15:04.1038792Z,20,0,0,0
BINANCEDEX,https://www.binance.org/,Binance DEX,2019-10-24,2022-03-21,2019-10-24T17:06:37.0000000Z,2022-03-21T06:15:32.2094118Z,275,27164.37,422661102.3,2444999245.39
ISX,https://beta.isx.is/,ISX,2019-04-02,2022-03-21,2019-04-08T15:18:01.1770888Z,2022-03-21T00:39:44.2128929Z,4,0,573.18,120515.88
OOOBTC,https://www.ooobtc.com/,OOOBTC,2019-04-08,2020-03-22,2019-04-08T15:19:04.0034189Z,2020-03-22T16:04:22.0000000Z,53,0,0,0
CASHIEREST,https://www.cashierest.com/,Cashierest,2019-02-08,2020-03-12,2019-02-08T07:59:20.3268409Z,2020-03-12T06:14:51.6178446Z,150,0,0,0
LYKKE,https://www.lykke.com/,Lykke,2018-01-24,2022-03-21,2018-01-24T00:21:30.1220000Z,2021-04-12T23:32:56.0430400Z,502,7406.9,584303.42,28879980.89
BITRABBIT,https://bitrabbit.com/,Bitrabbit,2019-10-01,2021-11-21,2019-10-01T17:20:03.3672856Z,2021-11-21T03:35:00.7660878Z,213,0,0,0
ALLBIT,https://allbit.com/,Allbit,2020-01-01,2021-03-29,2020-01-01T02:28:44.9223852Z,2021-03-29T00:17:56.0508030Z,35,0,0,0
TOKENS,https://www.tokens.net/,Tokens.net,2019-10-01,2021-02-16,2019-10-01T17:28:46.7499049Z,2021-02-16T11:14:18.0016893Z,98,0,0,0
MANDALA,https://www.mandala.exchange/,Mandala,2021-03-12,2021-08-01,2021-03-12T23:31:27.1769842Z,2021-08-01T09:00:00.2233333Z,1129,0,0,0
BITKER,https://www.bitker.com/,BITKER,2019-05-05,2019-09-01,2019-05-05T07:21:16.3119958Z,2019-09-01T16:14:33.1199482Z,45,0,0,0
BITINKA,https://www.bitinka.com/,Bitinka,2019-02-08,2022-03-21,2019-02-08T07:47:15.6160385Z,2022-03-21T06:15:05.6184427Z,467,0,0,0
RADARRELAY,https://radarrelay.com/,Radar Relay,2019-10-01,2020-01-06,2019-10-01T17:27:42.1386007Z,2020-01-06T17:42:11.8769664Z,50,0,0,0
SIMEX,https://simex.global/,SIMEX,2017-11-06,2022-03-20,2019-02-05T23:26:47.3672455Z,2022-03-20T14:11:06.2857441Z,1206,0,2003593.75,7620476425.3
BITFOREX,https://bitforex.com/,BitForex,2018-09-04,2022-03-21,2018-10-13T17:03:50.8150924Z,2022-03-21T06:15:35.1383412Z,763,689626074113.42,18157428430370.4,587267205642335.5
CRYPTOMATE,https://cryptomate.co.uk/,Cryptomate,2019-10-03,2021-10-04,2019-10-03T16:48:07.4935476Z,2021-10-04T14:56:09.0988667Z,34,0,0,0
BITHESAP,https://www.bithesap.com/,Bithesap,2019-10-01,2022-03-21,2019-10-01T17:36:53.4673826Z,2022-03-21T04:51:52.3431961Z,3,0,0,0
BIGONE,https://big.one/,BigONE,2018-09-20,2022-03-21,2019-04-08T15:28:53.6306458Z,2022-03-21T06:15:37.6378826Z,668,127782633.64,3170844790.0,938872672860.0
